자치구,지역내총부가가치,구성비 (%),지역내총부가가치(2015년 기준년 연쇄가격) (백만원),전년대비 증감률 (%)
종로구,30808612,7.7,29669285,7.5
중구,48960286,12.3,48366658,2.4
용산구,11652457,2.9,11024257,3
성동구,11101959,2.8,10428677,3.1
광진구,6099745,1.5,5735998,2.7
동대문구,6944905,1.7,6512133,2.1
중랑구,4366141,1.1,4099157,4.6
성북구,5742356,1.4,5391037,0.3
강북구,3039338,0.8,2861917,1.4
도봉구,3158453,0.8,2980029,0.3
노원구,6188770,1.5,5835565,2.5
은평구,4553978,1.1,4262255,2.1
서대문구,8001568,2,7503413,2.5
마포구,18567745,4.6,17713261,1.6
양천구,6620684,1.7,6261187,1.5
강서구,16129479,4,15239958,-1.4
구로구,13011941,3.3,12301624,2
금천구,16215064,4.1,15443838,2.2
영등포구,32529971,8.1,30890086,6.7
동작구,6069330,1.5,5691391,1.7
관악구,5561824,1.4,5276966,1.4
서초구,32761926,8.2,30814333,0.4
강남구,65295935,16.3,61705000,3.4
송파구,27663368,6.9,26299539,4
강동구,8541950,2.1,7970983,4
