사용일자,요일,노선명,역명,승차총승객수,하차총승객수,승하자총승객수,연월,월일,등록일자
2019-01-01,월,2호선,을지로4가,3862.0,3728.0,7590.0,2019-01,01-01,20190104
2019-01-01,월,3호선,을지로3가,8104.0,7554.0,15658.0,2019-01,01-01,20190104
2019-01-01,월,2호선,을지로입구,22478.0,21330.0,43808.0,2019-01,01-01,20190104
2019-01-01,월,2호선,시청,8381.0,6049.0,14430.0,2019-01,01-01,20190104
2019-01-01,월,6호선,동묘앞,8045.0,8504.0,16549.0,2019-01,01-01,20190104
2019-01-01,월,경의선,청량리,15007.0,15397.0,30404.0,2019-01,01-01,20190104
2019-01-01,월,1호선,제기동,10187.0,10178.0,20365.0,2019-01,01-01,20190104
2019-01-01,월,1호선,신설동,6832.0,6930.0,13762.0,2019-01,01-01,20190104
2019-01-01,월,4호선,동대문,9337.0,10457.0,19794.0,2019-01,01-01,20190104
2019-01-01,월,1호선,종로5가,13578.0,13282.0,26860.0,2019-01,01-01,20190104
2019-01-01,월,1호선,종각,20944.0,16658.0,37602.0,2019-01,01-01,20190104
2019-01-01,월,2호선,동대문역사문화공원,10995.0,11808.0,22803.0,2019-01,01-01,20190104
2019-01-01,월,2호선,신당,6811.0,7324.0,14135.0,2019-01,01-01,20190104
2019-01-01,월,2호선,상왕십리,5723.0,5960.0,11683.0,2019-01,01-01,20190104
2019-01-01,월,경의선,왕십리,9379.0,8332.0,17711.0,2019-01,01-01,20190104
2019-01-01,월,2호선,한양대,2340.0,2751.0,5091.0,2019-01,01-01,20190104
2019-01-01,월,2호선,뚝섬,4882.0,5204.0,10086.0,2019-01,01-01,20190104
2019-01-01,월,2호선,성수,7826.0,8445.0,16271.0,2019-01,01-01,20190104
2019-01-01,월,2호선,건대입구,29309.0,30013.0,59322.0,2019-01,01-01,20190104
2019-01-01,월,2호선,구의,10121.0,10256.0,20377.0,2019-01,01-01,20190104
2019-01-01,월,2호선,강변,29375.0,27265.0,56640.0,2019-01,01-01,20190104
2019-01-01,월,2호선,잠실나루,5063.0,5305.0,10368.0,2019-01,01-01,20190104
2019-01-01,월,2호선,잠실,48502.0,42899.0,91401.0,2019-01,01-01,20190104
2019-01-01,월,2호선,잠실새내,11059.0,11519.0,22578.0,2019-01,01-01,20190104
2019-01-01,월,2호선,종합운동장,4149.0,3859.0,8008.0,2019-01,01-01,20190104
2019-01-01,월,2호선,삼성,25115.0,24529.0,49644.0,2019-01,01-01,20190104
2019-01-01,월,2호선,선릉,11547.0,9744.0,21291.0,2019-01,01-01,20190104
2019-01-01,월,2호선,역삼,10397.0,10598.0,20995.0,2019-01,01-01,20190104
2019-01-01,월,2호선,강남,38729.0,36544.0,75273.0,2019-01,01-01,20190104
